Code site;Adresse;Arrondissement;Opérateur;Type;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;se_anno_cad_data;geo_shape;geo_point_2d
T10960;65 Rue mademoiselle;75015;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.2993289993532406, 48.84364800024177], ""type"": ""Point""}";48.84364800024177, 2.2993289993532406
75113_032_03;66 Boulevard vincent auriol;75013;FREE MOBILE;3G/4G/5G;22/12/2014;22/12/2014;14/11/2024;;;"{""coordinates"": [2.366036999440955, 48.83448599981145], ""type"": ""Point""}";48.83448599981145, 2.366036999440955
755922;68 Rue olivier de serres;75015;SFR;2G/3G/4G/5G;25/06/2021;;;;;"{""coordinates"": [2.294846999493815, 48.833748000144446], ""type"": ""Point""}";48.833748000144446, 2.294846999493815
00021619U5;7 Rue caumartin;75009;ORANGE;3G/4G/5G;04/05/2012;24/10/2012;15/03/2024;;;"{""coordinates"": [2.3279759999404006, 48.87063900013982], ""type"": ""Point""}";48.87063900013982, 2.3279759999404006
75106_005_08;7 Rue corneille;75006;FREE MOBILE;3G/4G/5G;04/10/2016;30/09/2016;;;;"{""coordinates"": [2.3391179997140905, 48.84936300039088], ""type"": ""Point""}";48.84936300039088, 2.3391179997140905
T19468;7 Rue poulletier;75004;BOUYGUES;;28/02/2017;;;;;"{""coordinates"": [2.3582565005876215, 48.851558999890436], ""type"": ""Point""}";48.851558999890436, 2.3582565005876215
00000006U7;71 Rue pascal;75013;ORANGE;3G/4G/5G;26/04/2012;13/03/2014;02/07/2021;;;"{""coordinates"": [2.347735499479662, 48.83418899987452], ""type"": ""Point""}";48.83418899987452, 2.347735499479662
750634;73 Rue de la chapelle;75018;SFR;2G/3G/4G;03/06/2021;;;;;"{""coordinates"": [2.3587604997023663, 48.896729999658255], ""type"": ""Point""}";48.896729999658255, 2.3587604997023663
T96836;77 Rue de bercy;75012;BOUYGUES;;11/07/2018;;;;;"{""coordinates"": [2.3811390005976802, 48.838464000413154], ""type"": ""Point""}";48.838464000413154, 2.3811390005976802
00000023U8;79-81 Rue du fg poissonnière;75009;ORANGE;3G/4G;17/12/2012;19/07/2013;;;;"{""coordinates"": [2.348405999902997, 48.87637200035783], ""type"": ""Point""}";48.87637200035783, 2.348405999902997
00000014U8;8 Rue nicolet;75018;ORANGE;3G/4G;30/07/2011;21/11/2013;;;;"{""coordinates"": [2.3461875002774573, 48.88821600018707], ""type"": ""Point""}";48.88821600018707, 2.3461875002774573
00008768U5;8 Bis rue de la fontaine au roi;75011;ORANGE;3G/4G;11/07/2013;12/08/2013;;;;"{""coordinates"": [2.3691599994998085, 48.86848799986687], ""type"": ""Point""}";48.86848799986687, 2.3691599994998085
00000020U7;81 Rue de l'amiral mouchez;75013;ORANGE;3G/4G/5G;23/05/2011;24/07/2013;03/06/2022;;;"{""coordinates"": [2.343897000429804, 48.82064400040003], ""type"": ""Point""}";48.82064400040003, 2.343897000429804
75112_081_01;84 Rue du docteur arnold netter;75012;FREE MOBILE;3G/4G/5G;22/11/2023;22/11/2023;13/12/2023;;;"{""coordinates"": [2.4062669993246995, 48.84652799994087], ""type"": ""Point""}";48.84652799994087, 2.4062669993246995
75115_073_01;86 Rue de la federation;75015;FREE MOBILE;3G/4G/5G;22/08/2018;22/08/2018;23/02/2022;;;"{""coordinates"": [2.2979294996070108, 48.852701999845664], ""type"": ""Point""}";48.852701999845664, 2.2979294996070108
757444;87 Boulevard de charonne;75011;SFR;2G/3G/4G/5G;24/05/2022;;;;;"{""coordinates"": [2.395426500626443, 48.85477199957102], ""type"": ""Point""}";48.85477199957102, 2.395426500626443
T15209;87-89 Boulevard de charonne;75011;BOUYGUES;;28/07/2016;;;;;"{""coordinates"": [2.3953905000332587, 48.854817000052584], ""type"": ""Point""}";48.854817000052584, 2.3953905000332587
00000117U8;9 Rue buffault;75009;ORANGE;3G/4G/5G;02/02/2011;21/08/2012;04/10/2019;;;"{""coordinates"": [2.3418072753875223, 48.87552812933167], ""type"": ""Point""}";48.87552812933167, 2.3418072753875223
00000064U7;9 Rue littré;75006;ORANGE;3G/4G/5G;12/02/2013;22/05/2014;05/12/2024;;;"{""coordinates"": [2.324078999531515, 48.84542099981796], ""type"": ""Point""}";48.84542099981796, 2.324078999531515
T15897;9 Rue delouvain;75019;BOUYGUES;;04/10/2013;;;;;"{""coordinates"": [2.388307500546336, 48.875706000410766], ""type"": ""Point""}";48.875706000410766, 2.388307500546336
00008765U5;9 Rue du quatre septembre;75002;ORANGE;3G/4G;;10/12/2012;;;;"{""coordinates"": [2.337826499541095, 48.86923500044264], ""type"": ""Point""}";48.86923500044264, 2.337826499541095
T15012;92 Rue de vaugirard;75006;BOUYGUES;;15/11/2005;;;;;"{""coordinates"": [2.3258025001011244, 48.84679800007387], ""type"": ""Point""}";48.84679800007387, 2.3258025001011244
75116_017_05;92 Quai louis bleriot;75016;FREE MOBILE;3G/4G/5G;03/10/2014;09/10/2014;;;;"{""coordinates"": [2.272468500084807, 48.84521400007843], ""type"": ""Point""}";48.84521400007843, 2.272468500084807
00023916U5;Hopital tenon 4 rue de la chine;75020;ORANGE;3G/4G/5G;01/02/2012;13/06/2013;04/12/2024;;;"{""coordinates"": [2.4007635004710437, 48.865716000434844], ""type"": ""Point""}";48.865716000434844, 2.4007635004710437
751293;157 Boulevard davout;75020;SFR;2G/3G/4G/5G;25/08/2021;;;;;"{""coordinates"": [2.409272999948469, 48.859587000175985], ""type"": ""Point""}";48.859587000175985, 2.409272999948469
75119_003_01;159 Avenue de flandres;75019;FREE MOBILE;3G/4G/5G;16/09/2013;16/09/2013;18/07/2023;;;"{""coordinates"": [2.3804280000076177, 48.893769000370675], ""type"": ""Point""}";48.893769000370675, 2.3804280000076177
75107_036_03;16 Rue barbet de jouy;75007;FREE MOBILE;3G/4G/5G;18/12/2017;18/12/2017;19/05/2023;;;"{""coordinates"": [2.317664746391155, 48.85407213898825], ""type"": ""Point""}";48.85407213898825, 2.317664746391155
00008109U5;16 Rue de cambrai;75019;ORANGE;3G/4G/5G;05/06/2016;05/06/2016;13/05/2024;;;"{""coordinates"": [2.3786324996231687, 48.89499300037498], ""type"": ""Point""}";48.89499300037498, 2.3786324996231687
00010690U5;163 Rue de charenton;75012;ORANGE;3G/4G/5G;27/05/2014;12/05/2014;27/03/2023;;;"{""coordinates"": [2.3841089997897504, 48.84444899990095], ""type"": ""Point""}";48.84444899990095, 2.3841089997897504
00080202U7;17 Rue de l'amiral hamelin;75016;ORANGE;3G/4G/5G;17/01/2012;16/12/2013;12/02/2024;;;"{""coordinates"": [2.2920347893426336, 48.86707555467999], ""type"": ""Point""}";48.86707555467999, 2.2920347893426336
75118_005_03;17 Rue andrezieux;75018;FREE MOBILE;3G/4G/5G;21/09/2012;07/11/2013;;;;"{""coordinates"": [2.3537789994569933, 48.89361599998169], ""type"": ""Point""}";48.89361599998169, 2.3537789994569933
T15848;17 Rue ligner;75020;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.3973840000196773, 48.85804799997082], ""type"": ""Point""}";48.85804799997082, 2.3973840000196773
75113_106_01;18 Boulevard massena;75013;FREE MOBILE;3G/4G/5G;18/06/2024;18/06/2024;27/06/2024;;;"{""coordinates"": [2.374693239556627, 48.823589117226696], ""type"": ""Point""}";48.823589117226696, 2.374693239556627
T16577;182 Rue st-honore;75001;BOUYGUES;;04/07/2024;;;;;"{""coordinates"": [2.338902000667506, 48.86239499969456], ""type"": ""Point""}";48.86239499969456, 2.338902000667506
75111_092_01;19 Rue godefroy cavaignac;75111;FREE MOBILE;3G/4G/5G;09/11/2022;09/11/2022;08/12/2022;;;"{""coordinates"": [2.3811749994813356, 48.855042000344596], ""type"": ""Point""}";48.855042000344596, 2.3811749994813356
75119_033_03;192 Boulevard de la villette;75019;FREE MOBILE;3G/4G/5G;07/06/2019;23/04/2019;30/08/2023;;;"{""coordinates"": [2.3705370002467907, 48.88200600031703], ""type"": ""Point""}";48.88200600031703, 2.3705370002467907
7510055616;2 Cite du sacre-coeur;75018;SFR;3G/4G/5G;05/05/2023;;;;;"{""coordinates"": [2.343640499775558, 48.88630800011843], ""type"": ""Point""}";48.88630800011843, 2.343640499775558
753536;2 Rue de turenne;75004;SFR;2G/3G/4G;;;;;;"{""coordinates"": [2.363166000637503, 48.854736000134174], ""type"": ""Point""}";48.854736000134174, 2.363166000637503
T36214;2 Rue robert esnault pelterie;75007;BOUYGUES;;22/11/2019;;;;;"{""coordinates"": [2.3148764994251723, 48.86237700030883], ""type"": ""Point""}";48.86237700030883, 2.3148764994251723
T15965;20 Boulevard des italiens;75009;BOUYGUES;;04/08/2017;;;;;"{""coordinates"": [2.3370525002599933, 48.87163800006235], ""type"": ""Point""}";48.87163800006235, 2.3370525002599933
T41698;20 Rue etienne dolet;75020;BOUYGUES;;23/12/2022;;;;;"{""coordinates"": [2.3844419999448183, 48.867758999871626], ""type"": ""Point""}";48.867758999871626, 2.3844419999448183
751267;209 Rue de charenton;75012;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.3891445003599725, 48.83934600043245], ""type"": ""Point""}";48.83934600043245, 2.3891445003599725
T16790;212 Rue lecourbe;75015;BOUYGUES;;04/11/2016;;;;;"{""coordinates"": [2.2946112245520425, 48.840248148387815], ""type"": ""Point""}";48.840248148387815, 2.2946112245520425
T96030;216 Rue st jacques;75005;BOUYGUES;;10/12/2017;;;;;"{""coordinates"": [2.3424507481329355, 48.845189129596505], ""type"": ""Point""}";48.845189129596505, 2.3424507481329355
T96031;22 B rue de tanger;75019;BOUYGUES;;15/11/2018;;;;;"{""coordinates"": [2.3700870004511754, 48.8871809999849], ""type"": ""Point""}";48.8871809999849, 2.3700870004511754
75116_073_09;22 Boulevard flandrin;75016;FREE MOBILE;3G/4G/5G;29/03/2024;29/03/2024;24/04/2024;;;"{""coordinates"": [2.2727834997206062, 48.8662200000209], ""type"": ""Point""}";48.8662200000209, 2.2727834997206062
00024947U5;227b Rue de bercy;75012;ORANGE;3G/4G/5G;;15/01/2024;15/01/2024;;;"{""coordinates"": [2.3697269998073653, 48.84651899969629], ""type"": ""Point""}";48.84651899969629, 2.3697269998073653
T10664;24-26 rue des prairies;75020;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.403634499929891, 48.86233199982268], ""type"": ""Point""}";48.86233199982268, 2.403634499929891
T15708;258 Rue marcadet;75018;BOUYGUES;;15/09/2000;;;;;"{""coordinates"": [2.3291172862535894, 48.89281713422593], ""type"": ""Point""}";48.89281713422593, 2.3291172862535894
00000043U7;27 Boulevard jourdan;75014;ORANGE;3G/4G/5G;05/07/2012;12/08/2013;26/06/2023;;;"{""coordinates"": [2.337370223085171, 48.820448131646216], ""type"": ""Point""}";48.820448131646216, 2.337370223085171
751311;27 Rue de l'amiral mouchez;75013;SFR;2G/3G/4G/5G;24/06/2021;;;;;"{""coordinates"": [2.3417127280972685, 48.82438113040316], ""type"": ""Point""}";48.82438113040316, 2.3417127280972685
00025182U5;27 Avenue de la porte de clignancourt;75018;ORANGE;3G/4G/5G;01/04/2017;01/04/2017;13/06/2024;;;"{""coordinates"": [2.343861000319581, 48.89873699991253], ""type"": ""Point""}";48.89873699991253, 2.343861000319581
751115;27 Rue des francs bourgeois;75004;SFR;2G/3G/4G/5G;24/11/2022;;;;;"{""coordinates"": [2.3615729994526498, 48.857264999915074], ""type"": ""Point""}";48.857264999915074, 2.3615729994526498
75114_045_03;27 Rue faubourg saint jacques;75014;FREE MOBILE;3G/4G/5G;04/09/2019;04/09/2019;;;;"{""coordinates"": [2.3388867383141796, 48.8373681309894], ""type"": ""Point""}";48.8373681309894, 2.3388867383141796
00022245U3;3 Rue de messine;75008;ORANGE;3G/4G/5G;12/05/2017;12/05/2017;26/03/2024;;;"{""coordinates"": [2.310610500195261, 48.87657899985329], ""type"": ""Point""}";48.87657899985329, 2.310610500195261
753347;3 Rue mizon;75015;SFR;2G/3G/4G/5G;10/06/2022;;;;;"{""coordinates"": [2.315146499520206, 48.84123600009827], ""type"": ""Point""}";48.84123600009827, 2.315146499520206
